case_id|page|lot|sell_order|type_prop|size1|size2|size3|price|tumbon|aumper|province|Law_Court_ID|deed_no|addrno|bit_time1|bit_time2|bit_time3|bit_time4|bit_time5|bit_time6|link|timestamp|lat|long|eva_unit|eval_unit_price|onweb
ผบ.4617/2562|48/42|วันเสาร์/2564 - 1|84 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|17.0|1162300.0|พิมลราช|บางบัวทอง|นนทบุรี|101|164719|58/155|1  06/11/2564 ขายได้ 06/11/2564|2  27/11/2564 ขายได้ 06/11/2564|3  18/12/2564 ขายได้ 06/11/2564|4  08/01/2565 ขายได้ 06/11/2564|5  29/01/2565 ขายได้ 06/11/2564|6  19/02/2565 ขายได้ 06/11/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.4617&law_suit_year=2562&Law_Court_ID=101&deed_no=164719&addrno=58/155|2022-02-19 17:02:06.966794|13.92587689|100.3880553|18000||True
ผบ.666/2563|48/43|วันเสาร์/2564 - 1|85 - 1|ห้องชุด|0|0|30.81|1605201.0|บางเขน|เมืองนนทบุรี|นนทบุรี|101|156,120574,120576,241627,241632|152/122|1  06/11/2564 งดขายไม่มีผู้สู้ราคา 06/11/2564|2  27/11/2564 งดขายไม่มีผู้สู้ราคา 27/11/2564|3  18/12/2564 งดขายไม่มีผู้สู้ราคา 18/12/2564|4  08/01/2565 ขายได้ 08/01/2565|5  29/01/2565 ขายได้ 08/01/2565|6  19/02/2565 ขายได้ 08/01/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.666&law_suit_year=2563&Law_Court_ID=101&deed_no=156,120574-120576,241627-241632&addrno=152/122|2022-02-19 17:02:09.498598|13.84447182|100.52832714|10000||True
ผบ.296/2562|48/44|วันเสาร์/2564 - 1|86 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|27.0|1886300.0|บางสีทอง|บางกรวย|นนทบุรี|101|42280|199/42|1  06/11/2564 งดขาย 06/11/2564|2  27/11/2564 โจทก์แถลงงดขาย 27/11/2564|3  18/12/2564 งดขาย 18/12/2564|4  08/01/2565 โจทก์แถลงงดขาย 08/01/2565|5  29/01/2565 โจทก์แถลงงดขาย 29/01/2565|6  19/02/2565 โจทก์แถลงงดขาย 19/02/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.296&law_suit_year=2562&Law_Court_ID=101&deed_no=42280&addrno=199/42|2022-02-19 17:02:12.304623|13.82728217|100.47202514|28000||True
ผบ.3573/2560|48/45|วันเสาร์/2564 - 1|87 - 1|ห้องชุด|0|0|28.4|397600.0|บ้านใหม บางพัง|ปากเกร็ด(ตลาดขวัญ)|นนทบุรี|101|154607|22/488|1  06/11/2564 งดขายส่งประกาศมิชอบ 06/11/2564|2  27/11/2564 งดขายไม่มีผู้สู้ราคา 27/11/2564|3  18/12/2564 งดขายไม่มีผู้สู้ราคา 18/12/2564|4  08/01/2565 งดขายไม่มีผู้สู้ราคา 08/01/2565|5  29/01/2565 งดขายไม่มีผู้สู้ราคา 29/01/2565|6  19/02/2565 -|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.3573&law_suit_year=2560&Law_Court_ID=101&deed_no=154607&addrno=22/488|2022-02-19 17:02:16.087011|13.91712364|100.55631457|nodetail||True
ผบ.2019/2559|48/48|วันเสาร์/2564 - 1|88 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|70.4|2385000.0|ละหาร|บางบัวทอง|นนทบุรี|101|130101|82/133|1  06/11/2564 งดขาย 06/11/2564|2  27/11/2564 งดขาย 27/11/2564|3  18/12/2564 งดขาย 18/12/2564|4  08/01/2565 งดขาย 08/01/2565|5  29/01/2565 งดขาย 29/01/2565|6  19/02/2565 งดขาย 19/02/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.2019&law_suit_year=2559&Law_Court_ID=101&deed_no=130101&addrno=82/133|2022-02-19 17:02:22.074474|13.93816249|100.42935822|18000||True
ผบ.3301/2563|48/49|วันเสาร์/2564 - 1|89 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|16.0|805400.0|บางบัวทอง|บางบัวทอง|นนทบุรี|101|112405|98/288|1  06/11/2564 ขายได้ 06/11/2564|2  27/11/2564 ขายได้ 06/11/2564|3  18/12/2564 ขายได้ 06/11/2564|4  08/01/2565 ขายได้ 06/11/2564|5  29/01/2565 ขายได้ 06/11/2564|6  19/02/2565 ขายได้ 06/11/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.3301&law_suit_year=2563&Law_Court_ID=101&deed_no=112405&addrno=98/288|2022-02-19 17:02:25.269964|13.95878877|100.3693273|16000||True
ผบ.2545/2563|49/1|วันเสาร์/2564 - 1|91 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|44.0|993500.0|ทวีวัฒนา|ไทรน้อย|นนทบุรี|101|46060|53/4|1  06/11/2564 ขายได้ 06/11/2564|2  27/11/2564 ขายได้ 06/11/2564|3  18/12/2564 ขายได้ 06/11/2564|4  08/01/2565 ขายได้ 06/11/2564|5  29/01/2565 ขายได้ 06/11/2564|6  19/02/2565 ขายได้ 06/11/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.2545&law_suit_year=2563&Law_Court_ID=101&deed_no=46060&addrno=53/4|2022-02-19 17:02:41.351529|13.93276265|100.34047731|15000||True
ผบ.2184/2562|49/2|วันเสาร์/2564 - 1|92 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|23.9|1090335.0|ไทรน้อย|ไทรน้อย|นนทบุรี|701|23642|17/554|1  06/11/2564 ขายได้ 06/11/2564|2  27/11/2564 ขายได้ 06/11/2564|3  18/12/2564 ขายได้ 06/11/2564|4  08/01/2565 ขายได้ 06/11/2564|5  29/01/2565 ขายได้ 06/11/2564|6  19/02/2565 ขายได้ 06/11/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.2184&law_suit_year=2562&Law_Court_ID=701&deed_no=23642&addrno=17/554|2022-02-19 17:02:44.731942|13.97217662|100.3263453|15000||True
ผบ.812/2562|49/4|วันเสาร์/2564 - 1|94 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|30.8|2048494.52|บางพูด|ปากเกร็ด|นนทบุรี|104|47513|91/36|1  06/11/2564 งดขาย 06/11/2564|2  27/11/2564 งดขาย 27/11/2564|3  18/12/2564 งดขาย 18/12/2564|4  08/01/2565 08/01/2565|5  29/01/2565 งดขาย 29/01/2565|6  19/02/2565 งดขาย 19/02/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.812&law_suit_year=2562&Law_Court_ID=104&deed_no=47513&addrno=91/36|2022-02-19 17:02:48.698645|13.91648815|100.54374941|35000||True
ผบ.545/2562|49/5|วันเสาร์/2564 - 1|95 - 1|ห้องชุด|0|0|26.84|1034600.0|ตลาดขวัญ|เมืองนนทบุรี|นนทบุรี|330|3218|92/286|1  06/11/2564 งดขายไม่มีผู้สู้ราคา 06/11/2564|2  27/11/2564 งดขายไม่มีผู้สู้ราคา 27/11/2564|3  18/12/2564 ขายได้ 18/12/2564|4  08/01/2565 ขายได้ 18/12/2564|5  29/01/2565 ขายได้ 18/12/2564|6  19/02/2565 ขายได้ 18/12/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.545&law_suit_year=2562&Law_Court_ID=330&deed_no=3218&addrno=92/286|2022-02-19 17:02:52.717380|13.83702673|100.50459957|8000||True
ผบ.21378/2562|49/6|วันเสาร์/2564 - 1|96 - 1|ห้องชุด|0|0|107.64|6996600.0|ปากเกร็ด|ปากเกร็ด|นนทบุรี|145|44841|55/378|1  06/11/2564 งดขายไม่มีผู้สู้ราคา 06/11/2564|2  27/11/2564 งดขายไม่มีผู้สู้ราคา 27/11/2564|3  18/12/2564 งดขายไม่มีผู้สู้ราคา 18/12/2564|4  08/01/2565 งดขายไม่มีผู้สู้ราคา 08/01/2565|5  29/01/2565 งดขายไม่มีผู้สู้ราคา 29/01/2565|6  19/02/2565 -|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.21378&law_suit_year=2562&Law_Court_ID=145&deed_no=44841&addrno=55/378|2022-02-19 17:02:58.024198|13.90426455|100.53053724|40000||True
